County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
RIVERSIDE,LINCOLN,2019-03-15,2019-03-20,560,0,0,0,0,6.0
SAN LUIS OBISPO,BELMONT,2019-05-29,2019-05-29,835,0,0,0,0,1.0
SAN LUIS OBISPO,BOULDER,2019-06-05,2019-06-05,"1,075",0,0,0,0,1.0
STANISLAUS,STUHR,2019-06-07,2019-06-07,581,0,0,0,0,1.0
COLUSA,SAND,2019-06-08,2020-06-15,"2,220",4,0,0,0,374.0
SAN LUIS OBISPO,MCMILLAN,2019-06-12,2019-06-13,"1,763",0,0,0,0,2.0
RIVERSIDE,JERRY,2019-06-21,2019-06-21,500,0,0,0,0,1.0
MONTEREY,LONOAK,2019-06-25,2019-06-26,"2,546",0,0,0,0,2.0
STANISLAUS,ROCK,2019-06-25,2019-06-27,"2,420",0,0,0,0,3.0
SAN LUIS OBISPO,GILLIS,2019-07-08,2019-07-09,"1,010",1,1,0,0,2.0
MONTEREY,LAKE,2019-07-29,2019-08-01,306,0,0,0,0,4.0
CONTRA COSTA,MARSH CREEK 3,2019-08-03,2019-08-07,340,0,0,0,0,5.0
MARIPOSA,HUNTER,2019-08-15,2019-08-15,433,0,0,0,0,1.0
MARIPOSA,GAINES,2019-08-16,2019-08-20,"1,300",0,0,0,0,5.0
SHASTA,MOUNTAIN,2019-08-22,2019-08-31,600,14,7,0,0,10.0
TULARE,CREEK,2019-08-31,2019-09-04,756,0,0,0,0,5.0
RIVERSIDE,TENAJA,2019-09-04,2019-09-14,"1,926",0,3,0,0,11.0
TEHAMA,RED BANK,2019-09-05,2019-09-17,"8,836",2,0,0,0,13.0
BUTTE,SWEDES,2019-09-07,2019-09-09,496,2,1,0,0,3.0
RIVERSIDE,HORSESHOE,2019-09-14,2019-09-17,503,0,0,0,0,4.0
PLACER,BASELINE,2019-09-20,2019-09-21,640,0,0,0,0,2.0
NAPA,AMERICAN,2019-10-06,2019-10-07,526,1,0,0,0,2.0
MARIPOSA,BRICEBURG,2019-10-06,2019-10-20,"5,563",1,0,0,0,15.0
RIVERSIDE,RECHE,2019-10-10,2019-10-12,350,1,1,0,0,3.0
SANTA BARBARA,REAL,2019-10-17,2019-10-21,420,0,0,0,0,5.0
SONOMA,KINCADE,2019-10-23,2019-11-10,"77,758",374,60,0,0,19.0
TEHAMA,RAWSON,2019-10-26,2019-10-27,605,1,3,0,0,2.0
MENDOCINO,BURRIS,2019-10-27,2019-11-02,703,0,0,0,0,7.0
VENTURA,EASY,2019-10-30,2019-11-08,"2,375",1,1,0,0,10.0
RIVERSIDE,HILL,2019-10-31,2019-11-03,628,0,0,0,0,4.0
RIVERSIDE,46TH,2019-10-31,2019-10-31,328,7,7,0,0,1.0
VENTURA,MARIA,2019-10-31,2019-11-06,"9,999",4,0,0,0,7.0
TEHAMA,RANCH,2019-11-03,2019-11-06,"2,534",0,1,0,0,4.0
PLACER,FOOTHILLS,2019-11-25,2019-11-25,308,0,0,0,0,1.0
,,,,"131,743",413,85,0,0,
KERN,REFUGE,2019-05-07,2019-05-08,"2,500",0,0,0,0,2.0
TUOLOMNE,ROSASCO,2019-05-23,2019-09-11,731,0,0,0,0,112.0
SUTTER,WEST BUTTE,2019-06-08,2019-06-09,"1,300",7,0,0,0,2.0
TULARE,JORDAN,2019-06-09,2019-07-01,591,0,0,0,0,23.0
TRINITY,EAST,2019-06-17,2019-07-18,410,0,0,0,0,32.0
TULARE,COW,2019-07-25,2019-10-11,"2,025",0,0,0,0,79.0
MONO,SPRINGS,2019-07-26,2019-10-01,"4,840",0,0,0,0,68.0
MODOC,TUCKER,2019-07-28,2019-08-04,"14,150",0,0,0,0,8.0
MONTEREY,MILL,2019-07-30,2019-08-08,310,0,0,0,0,10.0
SAN DIEGO,CALIENTE,2019-08-01,2019-08-03,448,0,0,0,0,3.0
LASSEN,W-1 MCDONALD,2019-08-08,2019-08-11,"1,020",0,0,0,0,4.0
TULARE,BRODER,2019-08-08,2019-09-20,381,0,0,0,0,44.0
SAN BERNARDINO,BARSTOW,2019-08-11,2019-08-12,685,0,0,0,0,2.0
LASSEN,LONG VALLEY,2019-08-24,2019-08-27,"2,438",1,4,0,0,4.0
LASSEN,R-1 RANCH,2019-08-28,2019-09-04,"3,380",0,0,0,0,8.0
TEHAMA,SOUTH,2019-09-05,2019-11-27,"5,332",2,0,0,0,84.0
PLUMAS,WALKER,2019-09-04,2019-09-25,"54,608",9,0,0,0,22.0
INYO,TABOOSE,2019-09-04,2019-11-21,"10,400",0,0,0,0,79.0
MODOC,LONE,2019-09-05,2019-09-17,"5,737",0,0,0,0,13.0
SISKIYOU,LIME,2019-09-05,2019-09-25,"1,872",0,0,0,0,21.0
TRINITY,MIDDLE,2019-09-05,2019-10-11,"1,339",0,0,0,0,37.0
RIVERSIDE,SANDALWOOD,2019-10-10,2019-10-15,"1,011",73,16,0,2,6.0
LOS ANGELES,SADDLE RIDGE,2019-10-10,2019-10-26,"8,799",24,91,0,1,17.0
EL DORADO,CAPLES,2019-10-10,2019-10-31,"3,435",0,0,0,0,22.0
LOS ANGELES,TICK,2019-10-24,2019-10-31,"3,950",29,46,0,0,8.0
LOS ANGELES,GETTY,2019-10-28,2019-11-14,745,13,19,0,0,18.0
SANTA BARBARA,CAVE,2019-11-25,2019-12-13,"3,126",0,1,0,0,19.0
,,,,"135,563",158,177,0,3,
,,,,"267,306",571,262,0,3,
